,Код товара,Дата накладной,"Продажи, шт",скидка,Оптовая торговля,Розничная торговля
189775,1,1,63,10,0,1
189776,1,1,56,18,0,1
189777,1,1,44,11,0,1
189778,1,1,28,3,0,1
189779,1,1,52,9,0,1
189780,1,1,35,10,0,1
189781,1,1,30,3,0,1
189782,1,1,28,15,0,1
189783,1,1,36,16,0,1
189784,1,1,64,0,0,1
189785,1,1,40,17,0,1
189786,1,1,49,13,0,1
189787,1,2,45,5,0,1
189788,1,2,60,13,0,1
189789,1,2,62,3,0,1
189790,1,2,65,7,0,1
189791,1,2,67,10,0,1
189792,1,2,42,14,0,1
189793,1,2,32,8,0,1
189794,1,2,59,0,0,1
189795,1,2,41,17,0,1
189796,1,2,24,13,0,1
189797,1,2,47,3,0,1
189798,1,2,39,15,0,1
189799,1,2,21,0,0,1
189800,1,2,37,8,0,1
189801,1,2,64,17,0,1
189802,1,3,22,3,0,1
189803,1,3,52,6,0,1
189804,1,3,58,16,0,1
189805,1,3,69,3,0,1
189806,1,3,68,1,0,1
189807,1,3,22,0,0,1
189808,1,3,38,11,0,1
189809,1,3,32,11,0,1
189810,1,3,37,17,0,1
189811,1,3,42,12,0,1
189812,1,3,47,2,0,1
189813,1,3,23,17,0,1
189814,1,3,55,1,0,1
189815,1,3,41,13,0,1
189816,1,3,47,8,0,1
189817,1,3,32,1,0,1
189818,1,3,47,12,0,1
189819,1,3,58,4,0,1
189820,1,3,31,14,0,1
189821,1,3,68,11,0,1
189822,1,3,55,13,0,1
189823,1,4,67,10,0,1
189824,1,4,30,5,0,1
189825,1,4,26,18,0,1
189826,1,4,22,9,0,1
189827,1,4,25,0,0,1
189828,1,4,50,19,0,1
189829,1,4,50,3,0,1
189830,1,4,64,12,0,1
189831,1,4,69,15,0,1
189832,1,4,40,17,0,1
189833,1,4,62,10,0,1
189834,1,4,43,7,0,1
189835,1,4,59,2,0,1
189836,1,4,62,14,0,1
189837,1,4,44,5,0,1
189838,1,4,44,13,0,1
189839,1,4,22,18,0,1
189840,1,4,69,10,0,1
189841,1,4,56,11,0,1
189842,1,4,25,12,0,1
189843,1,5,23,3,0,1
189844,1,5,41,11,0,1
189845,1,5,26,15,0,1
189846,1,5,34,3,0,1
189847,1,5,42,10,0,1
189848,1,5,46,18,0,1
189849,1,5,31,0,0,1
189850,1,5,24,19,0,1
189851,1,5,48,12,0,1
189852,1,5,46,7,0,1
189853,1,5,48,18,0,1
189854,1,5,39,16,0,1
189855,1,5,47,17,0,1
189856,1,5,42,9,0,1
189857,1,5,26,11,0,1
189858,1,5,57,15,0,1
189859,1,5,21,15,0,1
189860,1,6,68,11,0,1
189861,1,6,57,11,0,1
189862,1,6,32,8,0,1
189863,1,6,20,7,0,1
189864,1,6,67,9,0,1
189865,1,6,65,12,0,1
189866,1,6,39,17,0,1
189867,1,6,45,3,0,1
189868,1,6,49,3,0,1
189869,1,6,49,2,0,1
189870,1,6,22,1,0,1
189871,1,6,42,3,0,1
189872,1,6,46,1,0,1
189873,1,6,57,8,0,1
189874,1,6,30,13,0,1
189875,1,6,29,0,0,1
189876,1,6,68,10,0,1
189877,1,6,27,5,0,1
189878,1,6,60,17,0,1
189879,1,6,54,11,0,1
189880,1,6,31,7,0,1
189881,1,7,20,6,0,1
189882,1,7,66,17,0,1
189883,1,7,46,4,0,1
189884,1,7,50,14,0,1
189885,1,7,61,6,0,1
189886,1,7,64,14,0,1
189887,1,7,55,7,0,1
189888,1,7,39,9,0,1
189889,1,7,66,13,0,1
189890,1,7,43,19,0,1
189891,1,7,49,12,0,1
189892,1,7,55,10,0,1
189893,1,7,26,13,0,1
189894,1,7,39,17,0,1
189895,1,7,29,16,0,1
189896,1,7,26,6,0,1
189897,1,7,57,14,0,1
189898,1,7,38,10,0,1
189899,1,7,32,13,0,1
189900,1,7,62,19,0,1
189901,1,7,20,18,0,1
189902,1,8,62,10,0,1
189903,1,8,38,5,0,1
189904,1,8,42,15,0,1
189905,1,8,62,3,0,1
189906,1,8,25,13,0,1
189907,1,8,45,19,0,1
189908,1,8,58,15,0,1
189909,1,8,49,8,0,1
