,Код товара,Месяц,Направление продаж,"Продажи, шт"
0,299,7,Розничная торговля,44
1,299,7,Оптовая торговля,43
2,299,8,Розничная торговля,44
3,299,8,Оптовая торговля,44
4,299,9,Розничная торговля,43
5,299,9,Оптовая торговля,44
6,341,7,Розничная торговля,43
7,341,7,Оптовая торговля,40
8,341,8,Розничная торговля,47
9,341,8,Оптовая торговля,44
10,341,9,Розничная торговля,51
11,341,9,Оптовая торговля,49
12,605,7,Розничная торговля,43
13,605,7,Оптовая торговля,43
14,605,8,Розничная торговля,44
15,605,8,Оптовая торговля,45
16,605,9,Розничная торговля,41
17,605,9,Оптовая торговля,43
18,238,7,Розничная торговля,45
19,238,7,Оптовая торговля,46
20,238,8,Розничная торговля,45
21,238,8,Оптовая торговля,45
22,238,9,Розничная торговля,44
23,238,9,Оптовая торговля,44
24,45,7,Розничная торговля,45
25,45,7,Оптовая торговля,44
26,45,8,Розничная торговля,46
27,45,8,Оптовая торговля,47
28,45,9,Розничная торговля,46
29,45,9,Оптовая торговля,46
30,277,7,Розничная торговля,46
31,277,7,Оптовая торговля,46
32,277,8,Розничная торговля,47
33,277,8,Оптовая торговля,48
34,277,9,Розничная торговля,46
35,277,9,Оптовая торговля,46
36,90,7,Розничная торговля,44
37,90,7,Оптовая торговля,44
38,90,8,Розничная торговля,45
39,90,8,Оптовая торговля,46
40,90,9,Розничная торговля,42
41,90,9,Оптовая торговля,42
42,179,7,Розничная торговля,43
43,179,7,Оптовая торговля,45
44,179,8,Розничная торговля,43
45,179,8,Оптовая торговля,45
46,179,9,Розничная торговля,42
47,179,9,Оптовая торговля,44
48,517,7,Розничная торговля,46
49,517,7,Оптовая торговля,45
50,517,8,Розничная торговля,48
51,517,8,Оптовая торговля,47
52,517,9,Розничная торговля,45
53,517,9,Оптовая торговля,44
54,440,7,Розничная торговля,43
55,440,7,Оптовая торговля,43
56,440,8,Розничная торговля,51
57,440,8,Оптовая торговля,51
58,440,9,Розничная торговля,42
59,440,9,Оптовая торговля,43
60,554,7,Розничная торговля,43
61,554,7,Оптовая торговля,44
62,554,8,Розничная торговля,41
63,554,8,Оптовая торговля,43
64,554,9,Розничная торговля,47
65,554,9,Оптовая торговля,48
66,8,7,Розничная торговля,43
67,8,7,Оптовая торговля,39
68,8,8,Розничная торговля,49
